time,Area_A,Area_B
2016/3/31 0:30,0,0
2016/3/31 1:00,0,0
2016/3/31 1:30,0,0
2016/3/31 2:00,0,0
2016/3/31 2:30,0,0
2016/3/31 3:00,0,0
2016/3/31 3:30,0,0
2016/3/31 4:00,0,0
2016/3/31 4:30,0,0
2016/3/31 5:00,0,0
2016/3/31 5:30,0.00275,0.00725
2016/3/31 6:00,0.0055,0.0145
2016/3/31 6:30,0.03575,0.04575
2016/3/31 7:00,0.066,0.077
2016/3/31 7:30,0.104,0.108
2016/3/31 8:00,0.142,0.139
2016/3/31 8:30,0.17725,0.16475
2016/3/31 9:00,0.2125,0.1905
2016/3/31 9:30,0.24425,0.21875
2016/3/31 10:00,0.276,0.247
2016/3/31 10:30,0.28475,0.26525
2016/3/31 11:00,0.2935,0.2835
2016/3/31 11:30,0.30875,0.298
2016/3/31 12:00,0.324,0.3125
2016/3/31 12:30,0.32025,0.31725
2016/3/31 13:00,0.3165,0.322
2016/3/31 13:30,0.28775,0.3065
2016/3/31 14:00,0.259,0.291
2016/3/31 14:30,0.21375,0.266
2016/3/31 15:00,0.1685,0.241
2016/3/31 15:30,0.1295,0.201
2016/3/31 16:00,0.0905,0.161
2016/3/31 16:30,0.071,0.12525
2016/3/31 17:00,0.0515,0.0895
2016/3/31 17:30,0.03825,0.056
2016/3/31 18:00,0.025,0.0225
2016/3/31 18:30,0.0125,0.01125
2016/3/31 19:00,0,0
2016/3/31 19:30,0,0
2016/3/31 20:00,0,0
2016/3/31 20:30,0,0
2016/3/31 21:00,0,0
2016/3/31 21:30,0,0
2016/3/31 22:00,0,0
2016/3/31 22:30,0,0
2016/3/31 23:00,0,0
2016/3/31 23:30,0,0
2016/4/1 0:00,0,0
2016/4/1 0:30,0,0
2016/4/1 1:00,0,0
2016/4/1 1:30,0,0
2016/4/1 2:00,0,0
2016/4/1 2:30,0,0
2016/4/1 3:00,0,0
2016/4/1 3:30,0,0
2016/4/1 4:00,0,0
2016/4/1 4:30,0,0
2016/4/1 5:00,0,0
2016/4/1 5:30,0.00275,0.00725
2016/4/1 6:00,0.0055,0.0145
2016/4/1 6:30,0.03575,0.04575
2016/4/1 7:00,0.066,0.077
2016/4/1 7:30,0.104,0.108
2016/4/1 8:00,0.142,0.139
2016/4/1 8:30,0.17725,0.16475
2016/4/1 9:00,0.2125,0.1905
2016/4/1 9:30,0.24425,0.21875
2016/4/1 10:00,0.276,0.247
2016/4/1 10:30,0.28475,0.26525
2016/4/1 11:00,0.2935,0.2835
2016/4/1 11:30,0.30875,0.298
2016/4/1 12:00,0.324,0.3125
2016/4/1 12:30,0.32025,0.31725
2016/4/1 13:00,0.3165,0.322
2016/4/1 13:30,0.28775,0.3065
2016/4/1 14:00,0.259,0.291
2016/4/1 14:30,0.21375,0.266
2016/4/1 15:00,0.1685,0.241
