time,Area_A,Area_B
2016/3/31 1:00,0,0
2016/3/31 2:00,0,0
2016/3/31 3:00,0,0
2016/3/31 4:00,0,0
2016/3/31 5:00,0,0
2016/3/31 6:00,0.011,0.029
2016/3/31 7:00,0.132,0.154
2016/3/31 8:00,0.284,0.278
2016/3/31 9:00,0.425,0.381
2016/3/31 10:00,0.552,0.494
2016/3/31 11:00,0.587,0.567
2016/3/31 12:00,0.648,0.625
2016/3/31 13:00,0.633,0.644
2016/3/31 14:00,0.518,0.582
2016/3/31 15:00,0.337,0.482
2016/3/31 16:00,0.181,0.322
2016/3/31 17:00,0.103,0.179
2016/3/31 18:00,0.05,0.045
2016/3/31 19:00,0,0
2016/3/31 20:00,0,0
2016/3/31 21:00,0,0
2016/3/31 22:00,0,0
2016/3/31 23:00,0,0
2016/4/1 0:00,0,0
2016/4/1 1:00,0,0
2016/4/1 2:00,0,0
2016/4/1 3:00,0,0
2016/4/1 4:00,0,0
2016/4/1 5:00,0,0
2016/4/1 6:00,0.011,0.029
2016/4/1 7:00,0.132,0.154
2016/4/1 8:00,0.284,0.278
2016/4/1 9:00,0.425,0.381
2016/4/1 10:00,0.552,0.494
2016/4/1 11:00,0.587,0.567
2016/4/1 12:00,0.648,0.625
2016/4/1 13:00,0.633,0.644
2016/4/1 14:00,0.518,0.582
2016/4/1 15:00,0.337,0.482
2016/4/1 16:00,0.181,0.322
2016/4/1 17:00,0.103,0.179
2016/4/1 18:00,0.05,0.045
2016/4/1 19:00,0,0
2016/4/1 20:00,0,0
2016/4/1 21:00,0,0
2016/4/1 22:00,0,0
2016/4/1 23:00,0,0
2016/4/2 0:00,0,0
2016/4/2 1:00,0,0
2016/4/2 2:00,0,0
2016/4/2 3:00,0,0
2016/4/2 4:00,0,0
2016/4/2 5:00,0,0
2016/4/2 6:00,0,0.053144
2016/4/2 7:00,0.060234,0.183718
2016/4/2 8:00,0.122147,0.3434
2016/4/2 9:00,0.18189,0.490756
2016/4/2 10:00,0.327713,0.647265
2016/4/2 11:00,0.345588,0.693258
2016/4/2 12:00,0.348636,0.70164
2016/4/2 13:00,0.352143,0.652095
2016/4/2 14:00,0.345648,0.574678
2016/4/2 15:00,0.315152,0.466525
2016/4/2 16:00,0.147722,0.236084
2016/4/2 17:00,0.076444,0.100926
2016/4/2 18:00,0.017988,0.019326
2016/4/2 19:00,0,0
2016/4/2 20:00,0,0
2016/4/2 21:00,0,0
2016/4/2 22:00,0,0
2016/4/2 23:00,0,0
2016/4/3 0:00,0,0
2016/4/3 1:00,0,0
2016/4/3 2:00,0,0
2016/4/3 3:00,0,0
2016/4/3 4:00,0,0
2016/4/3 5:00,0,0
2016/4/3 6:00,0.014424,0.01145
2016/4/3 7:00,0.06208,0.034029
2016/4/3 8:00,0.134378,0.061054
2016/4/3 9:00,0.220998,0.090845
2016/4/3 10:00,0.317664,0.118879
2016/4/3 11:00,0.370209,0.153277
2016/4/3 12:00,0.372171,0.175606
2016/4/3 13:00,0.357724,0.188168
2016/4/3 14:00,0.323747,0.167085
2016/4/3 15:00,0.294056,0.13723
2016/4/3 16:00,0.146746,0.092878
2016/4/3 17:00,0.078543,0.048684
2016/4/3 18:00,0.020789,0.011494
2016/4/3 19:00,0,0
2016/4/3 20:00,0,0
2016/4/3 21:00,0,0
2016/4/3 22:00,0,0
2016/4/3 23:00,0,0
2016/4/4 0:00,0,0
2016/4/4 1:00,0,0
2016/4/4 2:00,0,0
2016/4/4 3:00,0,0
2016/4/4 4:00,0,0
2016/4/4 5:00,0,0
2016/4/4 6:00,0.004777,0.035147
2016/4/4 7:00,0.019808,0.119051
2016/4/4 8:00,0.040241,0.230369
2016/4/4 9:00,0.065064,0.34469
2016/4/4 10:00,0.099962,0.590755
2016/4/4 11:00,0.132084,0.652414
2016/4/4 12:00,0.152245,0.675645
2016/4/4 13:00,0.150216,0.660938
2016/4/4 14:00,0.129456,0.577683
2016/4/4 15:00,0.118027,0.467749
2016/4/4 16:00,0.095183,0.241272
2016/4/4 17:00,0.056812,0.110855
2016/4/4 18:00,0.015655,0.023372
2016/4/4 19:00,0,0
2016/4/4 20:00,0,0
2016/4/4 21:00,0,0
2016/4/4 22:00,0,0
2016/4/4 23:00,0,0
2016/4/5 0:00,0,0
2016/4/5 1:00,0,0
2016/4/5 2:00,0,0
2016/4/5 3:00,0,0
2016/4/5 4:00,0,0
2016/4/5 5:00,0,0
2016/4/5 6:00,0.013561,0.060769
2016/4/5 7:00,0.05838,0.192899
2016/4/5 8:00,0.122159,0.340781
2016/4/5 9:00,0.182842,0.466783
2016/4/5 10:00,0.279518,0.650538
2016/4/5 11:00,0.329448,0.694694
2016/4/5 12:00,0.388314,0.683916
2016/4/5 13:00,0.428905,0.639679
2016/4/5 14:00,0.438298,0.577864
2016/4/5 15:00,0.407622,0.492974
2016/4/5 16:00,0.254834,0.217674
2016/4/5 17:00,0.131158,0.091367
2016/4/5 18:00,0.031874,0.017952
2016/4/5 19:00,0,0
2016/4/5 20:00,0,0
2016/4/5 21:00,0,0
2016/4/5 22:00,0,0
2016/4/5 23:00,0,0
2016/4/6 0:00,0,0
2016/4/6 1:00,0,0
2016/4/6 2:00,0,0
2016/4/6 3:00,0,0
2016/4/6 4:00,0,0
2016/4/6 5:00,0,0
2016/4/6 6:00,0.045653,0.064008
2016/4/6 7:00,0.182966,0.203034
2016/4/6 8:00,0.362095,0.365532
2016/4/6 9:00,0.532063,0.511371
2016/4/6 10:00,0.666384,0.709008
2016/4/6 11:00,0.73539,0.759871
2016/4/6 12:00,0.761077,0.759539
2016/4/6 13:00,0.740669,0.743723
2016/4/6 14:00,0.688932,0.673681
2016/4/6 15:00,0.599402,0.566655
2016/4/6 16:00,0.351979,0.290311
2016/4/6 17:00,0.176493,0.137776
2016/4/6 18:00,0.04222,0.029486
2016/4/6 19:00,0,0
2016/4/6 20:00,0,0
2016/4/6 21:00,0,0
2016/4/6 22:00,0,0
2016/4/6 23:00,0,0
2016/4/7 0:00,0,0
2016/4/7 1:00,0,0
2016/4/7 2:00,0,0
2016/4/7 3:00,0,0
2016/4/7 4:00,0,0
2016/4/7 5:00,0,0
2016/4/7 6:00,0.016457,0.062447
2016/4/7 7:00,0.051279,0.184944
2016/4/7 8:00,0.078024,0.322829
2016/4/7 9:00,0.094197,0.444243
2016/4/7 10:00,0.098911,0.595653
2016/4/7 11:00,0.101026,0.620472
2016/4/7 12:00,0.08727,0.610457
2016/4/7 13:00,0.066035,0.552802
2016/4/7 14:00,0.052673,0.47683
2016/4/7 15:00,0.043822,0.384043
2016/4/7 16:00,0.038211,0.112957
2016/4/7 17:00,0.025387,0.045883
2016/4/7 18:00,0.008226,0.009633
2016/4/7 19:00,0,0
2016/4/7 20:00,0,0
2016/4/7 21:00,0,0
2016/4/7 22:00,0,0
