time,Area_A,Area_B
2016/3/31 0:30,0,0
2016/3/31 1:00,0,0
2016/3/31 1:30,0,0
2016/3/31 2:00,0,0
2016/3/31 2:30,0,0
2016/3/31 3:00,0,0
2016/3/31 3:30,0,0
2016/3/31 4:00,0,0
2016/3/31 4:30,0,0
2016/3/31 5:00,0,0
2016/3/31 5:30,0.0077,0.0203
2016/3/31 6:00,0.0154,0.0406
2016/3/31 6:30,0.1001,0.1281
2016/3/31 7:00,0.1848,0.2156
2016/3/31 7:30,0.2912,0.3024
2016/3/31 8:00,0.3976,0.3892
2016/3/31 8:30,0.4963,0.4613
2016/3/31 9:00,0.595,0.5334
2016/3/31 9:30,0.6839,0.6125
2016/3/31 10:00,0.7728,0.6916
2016/3/31 10:30,0.7973,0.7427
2016/3/31 11:00,0.8218,0.7938
2016/3/31 11:30,0.8645,0.8344
2016/3/31 12:00,0.9072,0.875
2016/3/31 12:30,0.8967,0.8883
2016/3/31 13:00,0.8862,0.9016
2016/3/31 13:30,0.8057,0.8582
2016/3/31 14:00,0.7252,0.8148
2016/3/31 14:30,0.5985,0.7448
2016/3/31 15:00,0.4718,0.6748
2016/3/31 15:30,0.3626,0.5628
2016/3/31 16:00,0.2534,0.4508
2016/3/31 16:30,0.1988,0.3507
2016/3/31 17:00,0.1442,0.2506
2016/3/31 17:30,0.1071,0.1568
2016/3/31 18:00,0.07,0.063
2016/3/31 18:30,0.035,0.0315
2016/3/31 19:00,0,0
2016/3/31 19:30,0,0
2016/3/31 20:00,0,0
2016/3/31 20:30,0,0
2016/3/31 21:00,0,0
2016/3/31 21:30,0,0
2016/3/31 22:00,0,0
2016/3/31 22:30,0,0
2016/3/31 23:00,0,0
2016/3/31 23:30,0,0
2016/4/1 0:00,0,0
2016/4/1 0:30,0,0
2016/4/1 1:00,0,0
2016/4/1 1:30,0,0
2016/4/1 2:00,0,0
2016/4/1 2:30,0,0
2016/4/1 3:00,0,0
2016/4/1 3:30,0,0
2016/4/1 4:00,0,0
2016/4/1 4:30,0,0
2016/4/1 5:00,0,0
2016/4/1 5:30,0.0077,0.0203
2016/4/1 6:00,0.0154,0.0406
2016/4/1 6:30,0.1001,0.1281
2016/4/1 7:00,0.1848,0.2156
2016/4/1 7:30,0.2912,0.3024
2016/4/1 8:00,0.3976,0.3892
2016/4/1 8:30,0.4963,0.4613
2016/4/1 9:00,0.595,0.5334
2016/4/1 9:30,0.6839,0.6125
2016/4/1 10:00,0.7728,0.6916
2016/4/1 10:30,0.7973,0.7427
2016/4/1 11:00,0.8218,0.7938
2016/4/1 11:30,0.8645,0.8344
2016/4/1 12:00,0.9072,0.875
2016/4/1 12:30,0.8967,0.8883
2016/4/1 13:00,0.8862,0.9016
2016/4/1 13:30,0.8057,0.8582
2016/4/1 14:00,0.7252,0.8148
