g_type,name,P_MAX_GENE_END,P_MIN_GENE_END,C_fuel,C_intc,Req_Run_Time,Req_Stop_Time,C_startup,IHR,R_GF_LFC_MAX,area,maintenance_1,HR_MIN,HR_MAX,M
COAL,3SODEG1,1000,300,2.923872003,271.865997,4,8,1500,2,5,Area_A,0403-0527,2397,2000,8
COAL,3KASH_PW,645,194,2.922867325,176.0015857,4,8,665.58,6.2,5,Area_A,0504-0627,2397,2000,8
COAL,3ISOGN2L,562,169,2.924305106,153.3804285,4,8,571.37,5.5,5,Area_A,0603-0727,2398.12,2000.93,8
GAS,3AD_LNG_14,685,274,8.456009136,1475.527266,1,4,166.68,1.83,5,Area_A,0403-0508,2043.52,1566.48,8
GAS,3GOIN1#1,780,312,8.094840174,1608.382897,1,4,176.65,2,5,Area_A,0913-1018,1956.23,1499.57,8
GAS,3SOGA,1070,428,8.289907989,2259.566673,1,4,207.1,2,5,Area_A,0514-0618,2003.38,1535.71,8
GAS,3JFEOG1A,250,100,9.099055605,579.457522,1,4,120,2,5,Area_A,1014-1118,2198.91,1685.6,8
GAS,3FUTT3#1,380,152,9.327695854,902.8930532,1,4,134.04,1.54,5,Area_A,0814-0918,2254.15,1727.95,8
OIL,3IP-HIT2,86,26,21.91652357,177.3872901,2,8,275.2,0,5,Area_A,1002-1116,2591.38,2162.18,8
OIL,3IP-NSM1,49,15,21.87919066,102.8988147,2,8,156.8,0,5,Area_A,1209-0123,2591.38,2162.18,8
OIL,3IP-SYO3,124,37,24.01375538,274.5590332,2,8,396.8,0,5,Area_A,0302-0416,2834.4,2364.95,8
COAL,1ATUMA4,700,105,2.960482807,163.8621239,4,8,728,5,5,Area_B,0403-0527,2829.44,1999.27,8
GAS,1ISHIK1,569,228,8.511733471,1238.270164,1,4,154.36,2,5,Area_B,0401-0506,2058.52,1577.98,8
GAS,1IP-MURO,125,50,12.89549521,410.6132339,1,4,106.67,2,5,Area_B,0908-1023,3116.37,2388.89,8
GAS,1AD_LNG_4,518,207,8.063033196,1061.766811,1,4,148.92,2,5,Area_B,1204-0125,1947.73,1493.06,8
OIL,1SHIRI2,350,53,22.40205049,627.4876277,2,8,985.6,5.2,5,Area_B,0601-0716,3087.52,2181.63,8
OIL,1IP-IDE,15,5,23.04691813,30.80545131,2,8,48,0,5,Area_B,0316-0430,2633.66,2263.3,8
OIL,1IP-NSEK,50,15,22.96524619,106.7684347,2,8,160,0,5,Area_B,0908-1023,2712.57,2263.3,8
