time,Area_A,Area_B
2016/3/31 1:00,125,167.4
2016/3/31 2:00,125,184.5
2016/3/31 3:00,125,200.1
2016/3/31 4:00,126,219.9
2016/3/31 5:00,126,245.7
2016/3/31 6:00,134,240.3
2016/3/31 7:00,136,199.8
2016/3/31 8:00,138,167.1
2016/3/31 9:00,136,160.8
2016/3/31 10:00,136,166.8
2016/3/31 11:00,130,157.5
2016/3/31 12:00,128,157.5
2016/3/31 13:00,128,145.2
2016/3/31 14:00,132,159.3
2016/3/31 15:00,134,177.3
2016/3/31 16:00,136,190.8
2016/3/31 17:00,153,206.4
2016/3/31 18:00,163,231.3
2016/3/31 19:00,158,252
2016/3/31 20:00,156,250.2
2016/3/31 21:00,146,221.1
2016/3/31 22:00,137,213.6
2016/3/31 23:00,129,202.8
2016/4/1 0:00,127,191.1
2016/4/1 1:00,125,167.4
2016/4/1 2:00,125,184.5
2016/4/1 3:00,125,200.1
2016/4/1 4:00,126,219.9
2016/4/1 5:00,126,245.7
2016/4/1 6:00,134,240.3
2016/4/1 7:00,136,199.8
2016/4/1 8:00,138,167.1
2016/4/1 9:00,136,160.8
2016/4/1 10:00,136,166.8
2016/4/1 11:00,130,157.5
2016/4/1 12:00,128,157.5
2016/4/1 13:00,128,145.2
2016/4/1 14:00,132,159.3
2016/4/1 15:00,134,177.3
2016/4/1 16:00,136,190.8
2016/4/1 17:00,153,206.4
2016/4/1 18:00,163,231.3
2016/4/1 19:00,158,252
2016/4/1 20:00,156,250.2
2016/4/1 21:00,146,221.1
2016/4/1 22:00,137,213.6
2016/4/1 23:00,129,202.8
2016/4/2 0:00,127,191.1
2016/4/2 1:00,125,185.7
2016/4/2 2:00,125,186
2016/4/2 3:00,126,204.3
2016/4/2 4:00,127,212.1
2016/4/2 5:00,126,234.6
2016/4/2 6:00,134,224.7
2016/4/2 7:00,137,206.1
2016/4/2 8:00,138,186
2016/4/2 9:00,136,179.1
2016/4/2 10:00,137,179.1
2016/4/2 11:00,130,170.7
2016/4/2 12:00,129,175.2
2016/4/2 13:00,128,161.7
2016/4/2 14:00,132,165.6
2016/4/2 15:00,134,171.6
2016/4/2 16:00,136,190.2
2016/4/2 17:00,153,213
2016/4/2 18:00,163,237.6
2016/4/2 19:00,158,251.1
2016/4/2 20:00,155,240.6
2016/4/2 21:00,146,219.9
2016/4/2 22:00,136,212.1
2016/4/2 23:00,128,209.1
2016/4/3 0:00,126,200.7
2016/4/3 1:00,125,184.8
2016/4/3 2:00,125,191.1
2016/4/3 3:00,126,207.9
2016/4/3 4:00,127,221.4
2016/4/3 5:00,126,235.2
2016/4/3 6:00,134,232.5
2016/4/3 7:00,137,209.1
2016/4/3 8:00,138,194.1
2016/4/3 9:00,136,183.6
2016/4/3 10:00,137,187.5
2016/4/3 11:00,130,181.5
2016/4/3 12:00,129,177.3
2016/4/3 13:00,128,184.2
2016/4/3 14:00,133,187.8
2016/4/3 15:00,134,191.7
2016/4/3 16:00,137,190.5
2016/4/3 17:00,153,193.8
2016/4/3 18:00,163,207.3
2016/4/3 19:00,159,223.2
2016/4/3 20:00,157,202.2
2016/4/3 21:00,147,178.8
2016/4/3 22:00,138,163.8
2016/4/3 23:00,129,153
2016/4/4 0:00,128,143.4
2016/4/4 1:00,134,135.9
2016/4/4 2:00,143,157.8
2016/4/4 3:00,144,186
2016/4/4 4:00,144,195.3
2016/4/4 5:00,147,204.6
2016/4/4 6:00,148,200.7
2016/4/4 7:00,145,175.5
2016/4/4 8:00,150,157.5
2016/4/4 9:00,167,148.8
2016/4/4 10:00,167,145.5
2016/4/4 11:00,156,143.7
2016/4/4 12:00,146,148.2
2016/4/4 13:00,156,135
2016/4/4 14:00,157,144
2016/4/4 15:00,161,168.6
2016/4/4 16:00,175,182.1
2016/4/4 17:00,194,205.2
2016/4/4 18:00,196,234.6
2016/4/4 19:00,195,257.7
2016/4/4 20:00,196,244.8
2016/4/4 21:00,184,224.1
2016/4/4 22:00,166,207.9
2016/4/4 23:00,158,195.6
2016/4/5 0:00,167,186.6
2016/4/5 1:00,148,166.8
2016/4/5 2:00,149,180
2016/4/5 3:00,149,194.4
2016/4/5 4:00,148,200.7
2016/4/5 5:00,139,201.9
2016/4/5 6:00,139,208.2
2016/4/5 7:00,143,193.2
2016/4/5 8:00,158,168.3
2016/4/5 9:00,189,161.7
2016/4/5 10:00,191,166.2
2016/4/5 11:00,179,145.8
2016/4/5 12:00,160,139.2
2016/4/5 13:00,157,131.7
2016/4/5 14:00,161,140.7
2016/4/5 15:00,165,161.4
2016/4/5 16:00,176,183.9
2016/4/5 17:00,206,209.7
2016/4/5 18:00,210,243.6
2016/4/5 19:00,214,249
2016/4/5 20:00,210,237.3
2016/4/5 21:00,181,229.5
2016/4/5 22:00,158,217.8
2016/4/5 23:00,157,206.1
2016/4/6 0:00,157,202.2
2016/4/6 1:00,173,188.7
2016/4/6 2:00,167,202.5
2016/4/6 3:00,165,207.9
2016/4/6 4:00,164,213
2016/4/6 5:00,165,218.1
2016/4/6 6:00,166,229.5
2016/4/6 7:00,170,224.7
2016/4/6 8:00,188,180
2016/4/6 9:00,225,178.8
2016/4/6 10:00,227,174.9
2016/4/6 11:00,187,165.3
2016/4/6 12:00,185,167.1
2016/4/6 13:00,173,153.6
2016/4/6 14:00,173,159.6
2016/4/6 15:00,175,171.6
2016/4/6 16:00,180,190.8
2016/4/6 17:00,216,210.9
2016/4/6 18:00,235,238.5
2016/4/6 19:00,242,250.8
2016/4/6 20:00,242,244.8
2016/4/6 21:00,191,222.3
2016/4/6 22:00,171,207.3
2016/4/6 23:00,167,203.1
2016/4/7 0:00,159,190.2
2016/4/7 1:00,162,167.4
2016/4/7 2:00,161,179.7
2016/4/7 3:00,160,195.6
2016/4/7 4:00,153,210.6
2016/4/7 5:00,152,227.1
2016/4/7 6:00,161,224.7
2016/4/7 7:00,170,212.4
2016/4/7 8:00,180,181.2
2016/4/7 9:00,221,165
2016/4/7 10:00,223,160.2
2016/4/7 11:00,183,159.3
2016/4/7 12:00,178,164.4
2016/4/7 13:00,160,147.3
2016/4/7 14:00,163,162
2016/4/7 15:00,164,178.8
2016/4/7 16:00,175,197.1
2016/4/7 17:00,230,230.1
2016/4/7 18:00,243,252.9
2016/4/7 19:00,251,266.7
2016/4/7 20:00,254,258.3
2016/4/7 21:00,203,254.4
2016/4/7 22:00,180,245.7
2016/4/7 23:00,178,220.8
2016/4/8 0:00,177,208.2
2016/4/8 1:00,171,187.8
2016/4/8 2:00,174,207.9
2016/4/8 3:00,175,223.5
2016/4/8 4:00,182,231.3
2016/4/8 5:00,184,241.5
2016/4/8 6:00,179,239.1
2016/4/8 7:00,183,210.6
2016/4/8 8:00,183,198
2016/4/8 9:00,206,198
2016/4/8 10:00,205,202.8
2016/4/8 11:00,176,202.8
2016/4/8 12:00,173,203.4
2016/4/8 13:00,173,175.5
2016/4/8 14:00,174,188.7
2016/4/8 15:00,177,193.5
2016/4/8 16:00,179,207.9
2016/4/8 17:00,200,217.8
2016/4/8 18:00,246,236.7
2016/4/8 19:00,250,254.4
2016/4/8 20:00,251,245.7
2016/4/8 21:00,217,228.3
2016/4/8 22:00,191,218.1
2016/4/8 23:00,189,215.4
2016/4/9 0:00,189,209.4
2016/4/9 1:00,189,189
2016/4/9 2:00,189,199.5
2016/4/9 3:00,195,208.8
2016/4/9 4:00,194,217.8
2016/4/9 5:00,193,224.7
2016/4/9 6:00,193,216
2016/4/9 7:00,194,203.7
2016/4/9 8:00,189,196.2
2016/4/9 9:00,191,188.1
2016/4/9 10:00,190,181.5
2016/4/9 11:00,193,178.2
2016/4/9 12:00,193,173.4
2016/4/9 13:00,189,161.1
2016/4/9 14:00,200,177.9
2016/4/9 15:00,202,183.3
2016/4/9 16:00,205,183.6
2016/4/9 17:00,215,193.5
2016/4/9 18:00,216,222.3
2016/4/9 19:00,205,242.7
2016/4/9 20:00,203,238.5
2016/4/9 21:00,190,215.7
2016/4/9 22:00,189,199.5
2016/4/9 23:00,191,189.6
2016/4/10 0:00,192,189.9
2016/4/10 1:00,127,175.2
2016/4/10 2:00,192,188.1
2016/4/10 3:00,189,211.5
2016/4/10 4:00,190,218.1
2016/4/10 5:00,189,224.1
