day,month_section,of_the_clock_section_pre
2016/3/31,Mar_1st,weekday
2016/4/1,Apr,weekday
2016/4/2,Apr,holiday
2016/4/3,Apr,holiday
2016/4/4,Apr,weekday
2016/4/5,Apr,weekday
2016/4/6,Apr,weekday
2016/4/7,Apr,weekday
2016/4/8,Apr,weekday
2016/4/9,Apr,holiday
2016/4/10,Apr,holiday
2016/4/11,Apr,weekday
2016/4/12,Apr,weekday
2016/4/13,Apr,weekday
2016/4/14,Apr,weekday
2016/4/15,Apr,weekday
2016/4/16,Apr,holiday
2016/4/17,Apr,holiday
2016/4/18,Apr,weekday
2016/4/19,Apr,weekday
2016/4/20,Apr,weekday
2016/4/21,Apr,weekday
2016/4/22,Apr,weekday
2016/4/23,Apr,holiday
2016/4/24,Apr,holiday
2016/4/25,Apr,weekday
2016/4/26,Apr,weekday
2016/4/27,Apr,weekday
2016/4/28,Apr,weekday
2016/4/29,Apr,holiday
2016/4/30,Apr,holiday
2016/5/1,May,holiday
2016/5/2,May,weekday
2016/5/3,May,holiday
2016/5/4,May,holiday
2016/5/5,May,holiday
2016/5/6,May,weekday
2016/5/7,May,holiday
2016/5/8,May,holiday
2016/5/9,May,weekday
2016/5/10,May,weekday
2016/5/11,May,weekday
2016/5/12,May,weekday
2016/5/13,May,weekday
2016/5/14,May,holiday
2016/5/15,May,holiday
2016/5/16,May,weekday
2016/5/17,May,weekday
2016/5/18,May,weekday
2016/5/19,May,weekday
2016/5/20,May,weekday
2016/5/21,May,holiday
2016/5/22,May,holiday
2016/5/23,May,weekday
2016/5/24,May,weekday
2016/5/25,May,weekday
2016/5/26,May,weekday
2016/5/27,May,weekday
2016/5/28,May,holiday
2016/5/29,May,holiday
2016/5/30,May,weekday
2016/5/31,May,weekday
2016/6/1,Jun,weekday
2016/6/2,Jun,weekday
2016/6/3,Jun,weekday
2016/6/4,Jun,holiday
2016/6/5,Jun,holiday
2016/6/6,Jun,weekday
2016/6/7,Jun,weekday
2016/6/8,Jun,weekday
2016/6/9,Jun,weekday
2016/6/10,Jun,weekday
2016/6/11,Jun,holiday
2016/6/12,Jun,holiday
2016/6/13,Jun,weekday
2016/6/14,Jun,weekday
2016/6/15,Jun,weekday
2016/6/16,Jun,weekday
2016/6/17,Jun,weekday
2016/6/18,Jun,holiday
2016/6/19,Jun,holiday
2016/6/20,Jun,weekday
2016/6/21,Jun,weekday
2016/6/22,Jun,weekday
2016/6/23,Jun,weekday
2016/6/24,Jun,weekday
2016/6/25,Jun,holiday
2016/6/26,Jun,holiday
2016/6/27,Jun,weekday
2016/6/28,Jun,weekday
2016/6/29,Jun,weekday
2016/6/30,Jun,weekday
