time,Area_A,Area_B
2016/3/31 1:00,62.5,83.7
2016/3/31 2:00,62.5,92.25
2016/3/31 3:00,62.5,100.05
2016/3/31 4:00,63,109.95
2016/3/31 5:00,63,122.85
2016/3/31 6:00,67,120.15
2016/3/31 7:00,68,99.9
2016/3/31 8:00,69,83.55
2016/3/31 9:00,68,80.4
2016/3/31 10:00,68,83.4
2016/3/31 11:00,65,78.75
2016/3/31 12:00,64,78.75
2016/3/31 13:00,64,72.6
2016/3/31 14:00,66,79.65
2016/3/31 15:00,67,88.65
2016/3/31 16:00,68,95.4
2016/3/31 17:00,76.5,103.2
2016/3/31 18:00,81.5,115.65
2016/3/31 19:00,79,126
2016/3/31 20:00,78,125.1
2016/3/31 21:00,73,110.55
2016/3/31 22:00,68.5,106.8
2016/3/31 23:00,64.5,101.4
2016/4/1 0:00,63.5,95.55
2016/4/1 1:00,62.5,83.7
2016/4/1 2:00,62.5,92.25
2016/4/1 3:00,62.5,100.05
2016/4/1 4:00,63,109.95
2016/4/1 5:00,63,122.85
2016/4/1 6:00,67,120.15
2016/4/1 7:00,68,99.9
2016/4/1 8:00,69,83.55
2016/4/1 9:00,68,80.4
2016/4/1 10:00,68,83.4
2016/4/1 11:00,65,78.75
2016/4/1 12:00,64,78.75
2016/4/1 13:00,64,72.6
2016/4/1 14:00,66,79.65
2016/4/1 15:00,67,88.65
2016/4/1 16:00,68,95.4
2016/4/1 17:00,76.5,103.2
2016/4/1 18:00,81.5,115.65
2016/4/1 19:00,79,126
2016/4/1 20:00,78,125.1
2016/4/1 21:00,73,110.55
2016/4/1 22:00,68.5,106.8
2016/4/1 23:00,64.5,101.4
2016/4/2 0:00,63.5,95.55
2016/4/2 1:00,62.5,92.85
2016/4/2 2:00,62.5,93
2016/4/2 3:00,63,102.15
2016/4/2 4:00,63.5,106.05
2016/4/2 5:00,63,117.3
2016/4/2 6:00,67,112.35
2016/4/2 7:00,68.5,103.05
2016/4/2 8:00,69,93
2016/4/2 9:00,68,89.55
2016/4/2 10:00,68.5,89.55
2016/4/2 11:00,65,85.35
2016/4/2 12:00,64.5,87.6
2016/4/2 13:00,64,80.85
2016/4/2 14:00,66,82.8
2016/4/2 15:00,67,85.8
2016/4/2 16:00,68,95.1
2016/4/2 17:00,76.5,106.5
2016/4/2 18:00,81.5,118.8
2016/4/2 19:00,79,125.55
2016/4/2 20:00,77.5,120.3
2016/4/2 21:00,73,109.95
2016/4/2 22:00,68,106.05
2016/4/2 23:00,64,104.55
2016/4/3 0:00,63,100.35
2016/4/3 1:00,62.5,92.4
2016/4/3 2:00,62.5,95.55
2016/4/3 3:00,63,103.95
2016/4/3 4:00,63.5,110.7
2016/4/3 5:00,63,117.6
2016/4/3 6:00,67,116.25
2016/4/3 7:00,68.5,104.55
2016/4/3 8:00,69,97.05
2016/4/3 9:00,68,91.8
2016/4/3 10:00,68.5,93.75
2016/4/3 11:00,65,90.75
2016/4/3 12:00,64.5,88.65
2016/4/3 13:00,64,92.1
2016/4/3 14:00,66.5,93.9
2016/4/3 15:00,67,95.85
2016/4/3 16:00,68.5,95.25
2016/4/3 17:00,76.5,96.9
2016/4/3 18:00,81.5,103.65
2016/4/3 19:00,79.5,111.6
2016/4/3 20:00,78.5,101.1
2016/4/3 21:00,73.5,89.4
2016/4/3 22:00,69,81.9
2016/4/3 23:00,64.5,76.5
2016/4/4 0:00,64,71.7
2016/4/4 1:00,67,67.95
2016/4/4 2:00,71.5,78.9
2016/4/4 3:00,72,93
2016/4/4 4:00,72,97.65
2016/4/4 5:00,73.5,102.3
2016/4/4 6:00,74,100.35
2016/4/4 7:00,72.5,87.75
2016/4/4 8:00,75,78.75
2016/4/4 9:00,83.5,74.4
2016/4/4 10:00,83.5,72.75
2016/4/4 11:00,78,71.85
2016/4/4 12:00,73,74.1
2016/4/4 13:00,78,67.5
2016/4/4 14:00,78.5,72
2016/4/4 15:00,80.5,84.3
2016/4/4 16:00,87.5,91.05
2016/4/4 17:00,97,102.6
2016/4/4 18:00,98,117.3
2016/4/4 19:00,97.5,128.85
2016/4/4 20:00,98,122.4
2016/4/4 21:00,92,112.05
2016/4/4 22:00,83,103.95
2016/4/4 23:00,79,97.8
2016/4/5 0:00,83.5,93.3
2016/4/5 1:00,74,83.4
2016/4/5 2:00,74.5,90
2016/4/5 3:00,74.5,97.2
2016/4/5 4:00,74,100.35
